用户ID,用户姓名,商品ID,商品名称,商品类别,单价,购买时间,购买数量,消费金额,用户城市,用户性别,用户年龄
U3925,殷裕思,P13701,技术教材,书籍,454.15,2024-08-30 20:50:19,3,1362.45,天津,女,51
U5919,许旭辰,P99338,面霜,美妆,574.66,2024-11-15 03:51:50,2,1149.32,杭州,男,63
U2355,杨林利,P24767,跑步鞋,运动,341.82,2024-09-20 02:04:01,4,1367.28,成都,女,18
U5654,方敬榕,P55010,跳绳,运动,250.09,2024-02-13 06:41:54,5,1250.45,杭州,男,57
U1754,虞裕林,P27556,山地车,运动,18.18,2024-07-05 04:44:04,5,90.9,天津,女,58
U6349,孔功翔,P10307,漫画,书籍,113.42,2024-11-12 10:53:58,1,113.42,成都,男,49
U9406,范致和,P62953,时尚杂志,书籍,99.26,2024-03-01 14:36:50,5,496.3,南京,女,25
U9730,宗冠善,P86383,口红,美妆,344.08,2024-07-07 07:33:28,4,1376.32,南京,男,62
U7913,柳有子,P13906,香水,美妆,361.12,2024-06-25 23:00:35,1,361.12,广州,男,24
U8936,花波泰,P19029,羽毛球拍,运动,814.68,2024-07-28 23:34:30,5,4073.4,武汉,女,18
U8522,傅启,P58251,羽毛球拍,运动,649.16,2024-02-07 04:58:04,2,1298.32,南京,男,65
U8345,贾松,P15127,拼图,玩具,418.04,2024-01-22 12:20:11,5,2090.2,重庆,女,39
U5858,吴思山,P93137,科幻小说,书籍,822.77,2024-08-30 04:30:17,5,4113.85,成都,男,59
U5511,朱裕风,P83241,收纳盒,家居,694.6,2024-11-02 02:57:37,1,694.6,广州,女,33
U6456,贝邦,P35430,技术教材,书籍,172.5,2024-01-21 10:11:53,2,345.0,苏州,男,57
U3397,贲谦斌,P36820,科幻小说,书籍,416.97,2024-08-26 04:09:56,3,1250.91,西安,女,30
U1360,陶彬武,P88814,运动鞋,服装,462.38,2024-11-30 21:45:13,4,1849.52,天津,女,22
U3493,贺坚,P82004,羽毛球拍,运动,620.81,2024-05-15 02:20:41,3,1862.43,上海,女,42
U3664,阮晨博,P19867,防晒霜,美妆,343.44,2024-09-05 15:15:05,2,686.88,成都,男,26
U5605,樊涛胜,P85552,笔记本电脑,电子产品,5410.22,2024-10-12 16:48:53,2,10820.44,北京,男,31
U5709,奚亮,P37275,笔记本电脑,电子产品,2852.4,2024-02-14 09:53:54,4,11409.6,深圳,男,27
U4367,臧心泰,P94019,羽毛球拍,运动,631.06,2024-08-18 19:23:11,5,3155.3,天津,女,18
U7433,席承,P50657,乐高积木,玩具,829.75,2024-11-16 00:46:52,1,829.75,深圳,男,23
U6036,臧致良,P10902,篮球,运动,512.75,2024-12-18 00:15:01,5,2563.75,苏州,男,55
U9882,袁雄,P55876,化妆刷套装,美妆,774.67,2024-09-06 23:56:40,2,1549.34,深圳,男,46
U4569,贺风,P49309,智能手表,电子产品,6637.98,2024-01-10 06:36:58,5,33189.9,北京,男,20
U5722,酆义,P93974,羽绒服,服装,406.5,2024-05-19 23:07:24,5,2032.5,广州,男,26
U2092,花福和,P29505,人物传记,书籍,709.42,2024-03-02 02:14:53,3,2128.26,上海,男,30
U5570,奚翰朋,P68787,充电宝,电子产品,3009.28,2024-09-25 13:38:50,3,9027.84,天津,女,55
U8723,江志,P98287,沙发,家居,1259.58,2024-04-10 07:32:29,1,1259.58,武汉,男,41
U1051,计信中,P94291,科幻小说,书籍,368.64,2024-05-03 16:53:22,2,737.28,重庆,女,54
U3736,虞致文,P16650,人物传记,书籍,104.44,2024-02-03 14:44:36,2,208.88,北京,女,22
U5712,郝成栋,P25647,芭比娃娃,玩具,17.28,2024-09-29 11:40:25,1,17.28,成都,男,59
U7206,沈启义,P57850,跑步鞋,运动,186.15,2024-04-03 14:04:45,4,744.6,西安,女,25
U5966,元龙祥,P65400,芭比娃娃,玩具,197.57,2024-11-07 03:13:53,5,987.85,上海,女,52
U7799,滕炎,P32398,时尚杂志,书籍,35.41,2024-12-10 05:53:52,1,35.41,武汉,男,44
U9575,云时晨,P57544,山地车,运动,557.75,2024-05-10 04:19:40,5,2788.75,深圳,男,21
U8320,单炎光,P40619,显示器,电子产品,6218.49,2024-09-08 16:51:30,1,6218.49,深圳,男,64
U1309,章固文,P60768,沙发,家居,2298.0,2024-06-21 12:32:15,4,9192.0,西安,女,42
U1588,于建良,P97503,羽毛球拍,运动,83.0,2024-03-02 15:10:26,5,415.0,广州,女,41
U5256,夏致伦,P66131,哑铃,运动,329.71,2024-05-26 00:27:43,5,1648.55,武汉,女,61
U1995,韩盛宏,P26817,卫衣,服装,299.35,2024-07-14 22:51:50,2,598.7,深圳,男,20
U8886,裘朋,P69641,智能手机,电子产品,4875.41,2024-01-15 08:16:37,5,24377.05,重庆,男,41
U2918,傅旭奇,P85540,跑步鞋,运动,747.4,2024-10-10 23:32:09,5,3737.0,深圳,男,25
U5172,酆清昌,P20575,沙发,家居,3442.34,2024-04-24 23:27:40,5,17211.7,成都,女,48
U1755,苗先,P43540,羽毛球拍,运动,706.12,2024-10-01 05:42:07,1,706.12,武汉,男,20
U4519,周河腾,P25630,办公椅,家居,4025.05,2024-09-28 03:32:45,3,12075.15,重庆,女,62
U1028,薛才以,P25237,遥控车,玩具,588.06,2024-08-22 10:24:16,4,2352.24,广州,女,31
U9191,俞彬豪,P77622,收纳盒,家居,2507.95,2024-12-11 17:14:15,3,7523.85,苏州,男,49
U5127,谢广广,P99114,跑步鞋,运动,667.5,2024-04-23 20:54:19,1,667.5,武汉,男,26
U6076,杭岩,P57272,历史书籍,书籍,591.2,2024-04-04 15:08:28,2,1182.4,苏州,女,32
U9990,乐鸣,P93975,香水,美妆,320.72,2024-03-27 03:34:42,3,962.16,苏州,男,60
U6078,俞晨民,P78351,牛仔裤,服装,287.7,2024-07-18 04:44:28,4,1150.8,西安,女,50
U5293,和杰,P54301,科幻小说,书籍,549.59,2024-06-13 18:20:21,3,1648.77,重庆,男,36
U3545,茅启鹏,P11458,办公椅,家居,4027.28,2024-01-22 17:43:25,4,16109.12,西安,女,50
U6482,贲裕勇,P82168,山地车,运动,501.7,2024-04-19 12:12:34,1,501.7,南京,男,22
U9393,刁致岩,P10516,智能手表,电子产品,6505.83,2024-06-29 14:58:15,3,19517.49,广州,男,18
U4736,蒋江泰,P61237,粉底液,美妆,331.56,2024-10-12 04:30:56,4,1326.24,广州,女,47
U4835,史利天,P61560,办公椅,家居,1250.12,2024-05-16 20:10:40,5,6250.6,广州,女,37
U1244,纪航子,P99020,漫画,书籍,781.15,2024-03-02 13:50:28,5,3905.75,深圳,男,62
U6634,施刚世,P49287,充电宝,电子产品,7993.39,2024-05-19 01:28:01,3,23980.17,北京,女,49
U2731,梅友军,P37908,口红,美妆,798.88,2024-08-04 22:51:32,5,3994.4,上海,女,39
U9451,康波军,P99724,充电宝,电子产品,1748.59,2024-11-24 14:10:52,3,5245.77,武汉,男,29
U6860,滕义,P81053,香水,美妆,799.78,2024-02-23 10:43:43,2,1599.56,北京,女,33
U8146,钱斌中,P46889,卫衣,服装,547.6,2024-06-28 23:46:22,5,2738.0,深圳,男,18
U1637,汤家子,P84110,T恤,服装,682.61,2024-12-30 12:03:40,4,2730.44,杭州,女,23
U6439,成明进,P64942,技术教材,书籍,803.57,2024-04-19 20:23:54,5,4017.85,广州,女,51
U9110,云俊世,P67859,瑜伽垫,运动,721.45,2024-03-02 17:06:23,1,721.45,深圳,女,40
U5593,喻功栋,P50288,遥控车,玩具,194.19,2024-03-22 02:20:01,3,582.57,武汉,女,22
U8116,云行杰,P31356,瑜伽垫,运动,550.67,2024-12-08 00:49:27,2,1101.34,杭州,女,44
U5014,盛宏全,P78846,遥控车,玩具,676.41,2024-08-12 13:29:43,3,2029.23,南京,男,32
U5204,干彪,P33935,面霜,美妆,78.77,2024-01-10 08:16:37,1,78.77,上海,女,18
U7324,黄星飞,P27058,香水,美妆,50.75,2024-07-14 12:48:37,1,50.75,成都,女,61
U8312,施龙岩,P11362,连衣裙,服装,412.23,2024-05-04 12:32:50,4,1648.92,武汉,女,65
U7923,奚兴政,P37817,平板电脑,电子产品,5214.0,2024-02-09 17:26:01,3,15642.0,苏州,女,38
U7293,田敬鸣,P96145,桌游,玩具,315.96,2024-05-23 18:06:26,5,1579.8,广州,女,36
U5464,夏之,P47560,香水,美妆,797.2,2024-10-19 12:14:28,2,1594.4,苏州,女,56
U6627,应泽,P37833,篮球,运动,17.89,2024-05-23 14:09:12,5,89.45,武汉,男,61
U4530,常子固,P78029,蓝牙耳机,电子产品,2683.36,2024-01-28 03:05:04,1,2683.36,重庆,男,34
U2785,单元雄,P16614,科幻小说,书籍,778.26,2024-02-11 16:25:18,1,778.26,西安,女,61
U9049,严钧广,P94493,沙发,家居,371.22,2024-10-17 15:59:53,3,1113.66,西安,女,60
U2395,罗刚福,P21390,羽绒服,服装,92.34,2024-01-19 21:11:23,4,369.36,广州,女,57
U8901,鲍永江,P62597,运动鞋,服装,275.97,2024-09-23 12:36:50,4,1103.88,重庆,女,51
U8592,卢志,P78222,香水,美妆,254.91,2024-04-08 00:40:36,5,1274.55,杭州,女,43
U5545,戚弘宏,P63860,智能手表,电子产品,3324.56,2024-03-13 10:18:35,3,9973.68,武汉,男,50
U7649,赵武,P50222,防晒霜,美妆,428.33,2024-05-19 14:58:47,4,1713.32,杭州,女,21
U1811,应全超,P87449,平板电脑,电子产品,3385.79,2024-11-10 19:57:52,4,13543.16,天津,男,45
U3722,张生,P51204,沙发,家居,346.71,2024-05-23 03:23:02,1,346.71,杭州,男,55
U4763,宋利力,P79679,防晒霜,美妆,739.01,2024-11-12 18:50:29,4,2956.04,深圳,男,55
U9173,石盛力,P35442,牛仔裤,服装,34.02,2024-03-06 12:39:17,4,136.08,重庆,女,60
U3193,柏思朗,P77107,显示器,电子产品,1760.46,2024-03-25 07:56:55,4,7041.84,广州,女,47
U4917,湛浩,P22468,口红,美妆,839.38,2024-12-29 05:54:29,2,1678.76,上海,男,27
U7874,于轮亨,P34529,充电宝,电子产品,3941.78,2024-06-23 09:34:54,5,19708.9,苏州,女,23
U9958,虞富勇,P44698,变形金刚,玩具,88.25,2024-02-21 10:09:48,5,441.25,北京,男,24
U3355,严明龙,P72154,山地车,运动,800.49,2024-07-21 15:19:14,5,4002.45,武汉,男,58
U6981,薛德,P65962,毛绒玩具,玩具,394.78,2024-11-23 04:52:30,4,1579.12,苏州,女,30
U5798,华哲,P61735,拼图,玩具,585.01,2024-05-12 10:19:50,3,1755.03,南京,男,46
U4086,罗群以,P35206,漫画,书籍,486.3,2024-11-04 08:42:54,1,486.3,天津,女,22
U7857,宗天世,P19690,毛绒玩具,玩具,235.13,2024-10-05 19:46:06,2,470.26,天津,女,59
U7398,吕伦轮,P77588,羽绒服,服装,680.17,2024-02-26 18:05:36,3,2040.51,天津,男,64
U3426,高轮琛,P76899,变形金刚,玩具,517.5,2024-12-30 21:01:36,2,1035.0,苏州,女,26
U2406,娄达,P74261,餐桌,家居,705.94,2024-10-25 18:41:32,2,1411.88,武汉,男,19
U1680,昌绍亨,P17427,篮球,运动,645.37,2024-07-21 17:06:32,5,3226.85,天津,男,47
U3367,顾广清,P18105,抱枕,家居,2706.89,2024-05-20 09:03:21,5,13534.45,南京,女,47
U5816,徐俊,P38888,笔记本电脑,电子产品,2401.23,2024-07-26 14:04:53,3,7203.69,杭州,男,53
U2493,崔祥之,P77147,运动鞋,服装,386.25,2024-03-24 23:35:18,4,1545.0,重庆,男,44
U2274,禹山晨,P85828,连衣裙,服装,445.11,2024-02-02 00:37:09,2,890.22,天津,女,61
U1185,应泽彪,P36088,乐高积木,玩具,318.37,2024-03-04 06:20:26,2,636.74,广州,男,33
U9276,颜元进,P83909,香水,美妆,801.89,2024-12-28 09:05:37,2,1603.78,成都,女,51
U9258,陈星翰,P22919,羽毛球拍,运动,396.79,2024-01-25 22:28:40,5,1983.95,重庆,女,51
U7760,孙康信,P33830,蓝牙耳机,电子产品,3043.02,2024-02-13 14:17:28,3,9129.06,西安,男,20
U5625,熊群固,P23156,夹克,服装,760.22,2024-04-10 01:34:30,3,2280.66,西安,女,25
U8241,熊星乐,P35579,四件套,家居,2483.9,2024-02-12 14:37:06,3,7451.7,天津,男,26
U8422,包伯诚,P81072,羽毛球拍,运动,611.11,2024-01-18 03:47:52,4,2444.44,苏州,男,20
U9893,雷岩山,P92019,T恤,服装,383.4,2024-04-13 10:43:35,2,766.8,武汉,女,25
U7684,孟树会,P23496,防晒霜,美妆,452.93,2024-05-16 10:12:24,1,452.93,杭州,男,59
U9655,史以俊,P40902,拼图,玩具,471.18,2024-12-13 09:37:15,1,471.18,南京,女,18
U6154,卫发新,P54553,哑铃,运动,487.86,2024-08-28 10:19:03,1,487.86,杭州,男,56
U7087,贲浩士,P50717,粉底液,美妆,467.56,2024-08-14 08:04:48,2,935.12,苏州,男,49
U5564,王谦顺,P59870,四件套,家居,1840.13,2024-11-30 18:46:10,5,9200.65,北京,男,58
U7615,姜冠航,P54968,山地车,运动,158.54,2024-03-13 02:55:57,3,475.62,上海,男,64
U6177,苗磊,P45171,运动鞋,服装,217.73,2024-02-16 12:40:32,5,1088.65,天津,女,32
U2945,童博武,P88592,香水,美妆,358.1,2024-05-12 23:51:01,1,358.1,西安,男,57
U6898,骆家启,P89283,心理学,书籍,236.7,2024-08-16 22:36:27,1,236.7,苏州,男,51
U8853,康善,P24436,香水,美妆,55.62,2024-05-09 17:16:47,1,55.62,苏州,女,61
U3235,干宏茂,P59819,人物传记,书籍,601.1,2024-11-19 23:39:35,5,3005.5,西安,男,64
U4164,毛发克,P67399,四件套,家居,2962.45,2024-02-13 01:04:14,1,2962.45,上海,男,23
U1392,左晨,P74141,面霜,美妆,785.71,2024-06-21 10:39:37,4,3142.84,杭州,女,20
U3406,米全,P84190,粉底液,美妆,707.74,2024-12-07 12:52:01,1,707.74,天津,女,48
U7597,云力谦,P50146,夹克,服装,648.46,2024-10-21 02:02:48,1,648.46,杭州,男,56
U8930,雷国山,P64225,笔记本电脑,电子产品,3460.55,2024-10-03 19:37:24,3,10381.65,重庆,男,44
U7572,房河,P94130,运动鞋,服装,319.44,2024-01-18 04:07:19,1,319.44,上海,女,49
U5080,蓝茂河,P73673,蓝牙耳机,电子产品,6180.96,2024-07-11 23:08:25,3,18542.88,杭州,女,28
U8200,贝亨,P38763,时尚杂志,书籍,585.23,2024-03-07 05:08:29,3,1755.69,苏州,男,27
U1842,史永承,P21734,篮球,运动,210.79,2024-10-26 19:15:46,5,1053.95,杭州,男,22
U5416,廉行,P84946,夹克,服装,641.68,2024-02-20 23:35:42,5,3208.4,成都,女,51
U6880,郎若和,P40347,山地车,运动,93.36,2024-05-24 16:47:13,3,280.08,天津,女,38
U3719,房健政,P83407,显示器,电子产品,5978.59,2024-06-02 03:59:54,2,11957.18,南京,女,59
U8114,顾鸣力,P16512,面霜,美妆,610.29,2024-11-22 23:42:24,1,610.29,广州,女,20
U4762,杨行,P32266,充电宝,电子产品,6507.46,2024-03-08 02:54:27,3,19522.38,武汉,男,26
U9568,茅松,P81413,历史书籍,书籍,527.03,2024-12-24 06:10:47,4,2108.12,天津,男,62
U4530,宣梁勇,P49726,运动鞋,服装,448.04,2024-04-09 06:51:34,5,2240.2,深圳,女,63
U1826,史厚和,P41300,山地车,运动,611.68,2024-08-20 01:24:06,4,2446.72,西安,女,24
U9693,昝文安,P50734,毛绒玩具,玩具,595.42,2024-10-13 18:13:35,3,1786.26,深圳,女,30
U2153,陶固杰,P26755,香水,美妆,343.52,2024-10-29 18:44:32,5,1717.6,杭州,男,55
U9812,皮朗贵,P71835,拼图,玩具,234.19,2024-07-13 12:33:28,1,234.19,西安,男,60
U7778,席学林,P55289,口红,美妆,329.17,2024-05-15 15:59:54,1,329.17,杭州,女,39
U1838,郭伟,P94524,抱枕,家居,1664.92,2024-09-24 02:40:43,3,4994.76,苏州,女,23
U9450,单胜启,P88759,智能手机,电子产品,7232.24,2024-05-18 01:31:58,1,7232.24,西安,男,53
U4873,支天岩,P12207,人物传记,书籍,630.05,2024-03-22 01:40:25,3,1890.15,杭州,男,48
U7275,邹邦,P64306,粉底液,美妆,821.94,2024-05-17 02:35:22,3,2465.82,成都,男,60
U2673,包发福,P34243,桌游,玩具,182.06,2024-05-29 06:00:33,5,910.3,南京,男,63
U4938,贝先山,P29748,餐桌,家居,1242.67,2024-05-20 10:01:50,4,4970.68,上海,女,22
U4186,韩明,P91280,办公椅,家居,739.06,2024-01-09 16:43:55,4,2956.24,成都,男,54
U9981,路磊建,P35799,显示器,电子产品,5033.96,2024-05-03 14:58:04,4,20135.84,西安,女,65
U5906,毕栋,P51897,智能手机,电子产品,6163.09,2024-11-15 15:33:51,3,18489.27,武汉,男,42
U9898,湛兴磊,P20091,口红,美妆,235.15,2024-12-18 15:35:04,4,940.6,武汉,男,34
U8958,闵群才,P14920,篮球,运动,555.28,2024-02-04 18:27:15,3,1665.84,重庆,女,36
U6774,鲍壮平,P30223,桌游,玩具,825.48,2024-10-24 08:32:47,1,825.48,重庆,男,45
U5827,穆武伟,P87978,时尚杂志,书籍,409.48,2024-11-14 18:50:26,1,409.48,广州,女,63
U6808,湛炎先,P40455,蓝牙耳机,电子产品,5812.66,2024-01-24 12:43:47,1,5812.66,重庆,男,18
U2805,诸建志,P29607,办公椅,家居,4215.76,2024-07-14 15:35:39,2,8431.52,武汉,男,48
U5729,于进鸣,P63178,羽毛球拍,运动,702.92,2024-07-28 10:13:18,4,2811.68,苏州,女,42
U6298,曹振翰,P44048,历史书籍,书籍,597.6,2024-11-09 02:51:15,5,2988.0,西安,男,35
U5215,夏强震,P15465,运动鞋,服装,569.7,2024-07-27 22:30:28,1,569.7,重庆,女,54
U8408,霍亨超,P85681,牛仔裤,服装,844.7,2024-06-10 08:35:27,1,844.7,北京,男,64
U6626,房之贵,P86416,防晒霜,美妆,800.35,2024-12-29 21:51:05,1,800.35,广州,男,56
U2121,钮磊,P13177,芭比娃娃,玩具,27.58,2024-01-12 22:24:06,2,55.16,深圳,女,28
U4489,包福家,P57325,篮球,运动,131.16,2024-05-06 03:14:07,5,655.8,广州,女,57
U7095,穆国磊,P30225,拼图,玩具,639.49,2024-06-18 03:52:05,1,639.49,上海,女,29
U9964,傅进俊,P39737,桌游,玩具,725.92,2024-12-15 16:55:33,5,3629.6,深圳,男,49
U9178,贲兴顺,P18386,化妆刷套装,美妆,773.83,2024-12-19 14:12:57,2,1547.66,成都,女,59
U1083,朱健翰,P99184,羽毛球拍,运动,300.05,2024-07-10 22:00:30,1,300.05,苏州,女,63
U6760,盛琛江,P37974,蓝牙耳机,电子产品,4603.16,2024-04-22 18:40:00,2,9206.32,成都,女,49
U4661,杨建,P44213,科幻小说,书籍,91.15,2024-05-23 04:28:19,3,273.45,苏州,女,22
U9716,范清克,P30741,平板电脑,电子产品,5070.76,2024-02-23 16:54:01,3,15212.28,北京,女,60
U6011,干富,P75269,乐高积木,玩具,269.19,2024-12-30 13:46:35,2,538.38,广州,女,23
U3086,元会,P90250,漫画,书籍,70.61,2024-08-07 12:52:11,3,211.83,武汉,男,48
U2875,昝福进,P49168,T恤,服装,696.64,2024-06-30 07:55:57,2,1393.28,北京,女,18
U6488,袁生,P46605,餐桌,家居,1175.08,2024-09-08 05:28:29,4,4700.32,武汉,男,30
U7651,邱山泽,P58285,桌游,玩具,811.7,2024-09-27 07:58:10,5,4058.5,天津,男,45
U4492,柏维河,P19197,防晒霜,美妆,447.07,2024-04-01 11:05:18,3,1341.21,北京,男,22
U2353,干腾辉,P93003,智能手机,电子产品,6869.73,2024-02-24 17:09:12,5,34348.65,南京,女,57
U8020,戚发清,P49613,变形金刚,玩具,379.19,2024-02-05 09:41:59,3,1137.57,深圳,男,38
U1320,洪维梁,P47525,瑜伽垫,运动,842.68,2024-12-22 18:38:04,5,4213.4,武汉,男,61
U5359,危武,P96940,口红,美妆,426.85,2024-12-11 02:35:48,1,426.85,上海,男,21
U9808,曹有固,P80519,智能手机,电子产品,3939.27,2024-05-10 03:20:41,4,15757.08,北京,男,46
U9776,苏广信,P35730,卫衣,服装,301.81,2024-03-03 16:28:30,4,1207.24,北京,女,26
U2888,郭家,P62194,T恤,服装,789.95,2024-03-07 01:00:35,1,789.95,重庆,男,52
U2906,凌浩子,P34750,化妆刷套装,美妆,620.96,2024-01-05 12:12:33,5,3104.8,武汉,男,55
U1592,水政,P21836,平板电脑,电子产品,3117.69,2024-02-01 10:56:16,2,6235.38,深圳,男,42
U8797,臧松宁,P54783,面霜,美妆,61.8,2024-10-11 03:00:22,5,309.0,深圳,女,29
U8936,岑行榕,P70950,遥控车,玩具,802.21,2024-07-29 01:52:10,3,2406.63,苏州,女,26
U2889,霍梁星,P15495,粉底液,美妆,835.83,2024-05-29 22:49:20,2,1671.66,苏州,女,38
U7504,殷进奇,P82183,变形金刚,玩具,540.47,2024-04-01 23:56:15,1,540.47,武汉,女,38
U7801,孙进斌,P95035,篮球,运动,108.52,2024-11-09 21:52:35,3,325.56,成都,男,59
U7209,贺昌昌,P46839,办公椅,家居,3848.03,2024-12-25 16:00:11,1,3848.03,南京,女,44
U2440,臧龙彪,P37473,粉底液,美妆,616.97,2024-11-29 08:01:13,3,1850.91,西安,男,35
U4265,孔泽毅,P66640,沙发,家居,200.63,2024-05-03 05:17:28,3,601.89,上海,女,23
U8094,庞晨轮,P79443,连衣裙,服装,340.82,2024-03-13 01:19:00,4,1363.28,上海,女,35
U8199,凤顺刚,P36218,科幻小说,书籍,119.4,2024-10-05 13:14:21,2,238.8,重庆,女,59
U3239,麻树,P80437,毛绒玩具,玩具,230.26,2024-04-16 02:19:32,2,460.52,深圳,男,23
U6757,祁翰明,P73779,山地车,运动,491.91,2024-04-20 08:34:40,2,983.82,武汉,女,24
U3468,滕河栋,P89327,牛仔裤,服装,717.03,2024-06-28 11:05:22,3,2151.09,北京,男,44
U2360,费航梁,P37644,充电宝,电子产品,6255.4,2024-06-08 09:15:51,1,6255.4,成都,女,29
U6672,凌伯峰,P77300,卫衣,服装,379.24,2024-01-16 03:42:55,2,758.48,南京,男,50
U2244,岑泽,P67142,T恤,服装,345.82,2024-10-11 19:54:22,3,1037.46,北京,男,57
U1939,邵平泽,P38513,牛仔裤,服装,256.16,2024-12-11 21:02:28,1,256.16,武汉,男,18
U8816,钱志永,P22521,蓝牙耳机,电子产品,2565.91,2024-10-17 19:46:40,5,12829.55,深圳,女,49
U4977,乐浩时,P73536,智能手表,电子产品,7390.5,2024-12-10 15:14:16,1,7390.5,苏州,男,29
U2647,杭元绍,P81912,技术教材,书籍,601.76,2024-08-14 12:39:03,3,1805.28,武汉,男,57
U5798,娄毅富,P31507,智能手表,电子产品,5695.02,2024-03-07 05:15:16,5,28475.1,深圳,女,44
U8683,茅乐波,P36124,牛仔裤,服装,667.8,2024-01-10 04:39:57,3,2003.4,武汉,女,48
U3056,华策斌,P95075,拼图,玩具,798.51,2024-03-17 14:17:23,3,2395.53,天津,女,64
U7915,吕才浩,P15377,餐桌,家居,1878.76,2024-07-11 03:22:28,1,1878.76,武汉,男,30
U7558,茅清,P67831,蓝牙耳机,电子产品,3368.53,2024-04-19 15:22:45,4,13474.12,南京,男,37
U8332,何胜,P20573,羽毛球拍,运动,118.66,2024-08-04 13:19:26,1,118.66,武汉,女,59
U2388,杨梁,P46227,跑步鞋,运动,280.28,2024-09-30 19:57:46,4,1121.12,重庆,女,51
