用户ID,用户姓名,商品ID,商品名称,商品类别,单价,购买时间,购买数量,消费金额,用户城市,用户性别,用户年龄
U2571,卢伟朋,P77647,心理学,书籍,682.99,2024-09-26 06:17:53,2,1365.98,杭州,女,59
U7821,诸光风,P72941,芭比娃娃,玩具,819.43,2024-02-16 20:15:55,1,819.43,杭州,女,30
U1240,施栋,P95771,跑步鞋,运动,759.95,2024-03-26 11:33:17,3,2279.85,深圳,男,29
U1182,麻发永,P74652,化妆刷套装,美妆,34.64,2024-05-29 14:18:03,4,138.56,武汉,女,45
U1141,成厚岩,P99142,防晒霜,美妆,849.06,2024-01-16 19:51:00,5,4245.3,天津,女,40
U6415,韦发轮,P16055,人物传记,书籍,204.41,2024-05-03 14:10:54,5,1022.05,南京,女,64
U7103,包德钧,P38580,T恤,服装,96.48,2024-12-02 21:44:07,3,289.44,南京,男,53
U2481,米海松,P58011,办公椅,家居,2644.09,2024-05-07 10:31:36,3,7932.27,苏州,男,46
U8606,崔有,P15116,面霜,美妆,411.94,2024-03-05 05:37:52,1,411.94,武汉,女,26
U4024,宋达浩,P92557,毛绒玩具,玩具,55.78,2024-02-09 22:24:17,3,167.34,深圳,女,38
U4668,水才,P38249,平板电脑,电子产品,9310.43,2024-03-09 00:45:01,5,46552.15,深圳,女,21
U1545,韦力茂,P86832,山地车,运动,284.53,2024-02-23 04:55:46,1,284.53,苏州,男,48
U3003,魏会,P98569,历史书籍,书籍,526.11,2024-01-21 06:56:14,2,1052.22,武汉,女,56
U3803,昌平,P95809,哑铃,运动,188.89,2024-11-04 20:42:53,2,377.78,杭州,男,31
U4038,齐广建,P41797,变形金刚,玩具,232.46,2024-04-24 04:57:49,5,1162.3,武汉,女,65
U6157,秦家,P26583,四件套,家居,4406.51,2024-11-21 02:26:34,1,4406.51,杭州,男,55
U3352,成成榕,P95942,心理学,书籍,236.3,2024-05-23 04:54:02,5,1181.5,深圳,女,37
U6566,卜固以,P42696,餐桌,家居,381.78,2024-10-15 06:13:15,3,1145.34,天津,女,59
U4827,皮仁致,P51311,连衣裙,服装,932.31,2024-07-19 01:27:49,4,3729.24,天津,男,63
U4471,李绍翔,P77218,收纳盒,家居,3354.58,2024-08-27 10:46:58,5,16772.9,苏州,女,26
U6756,左固庆,P69686,哑铃,运动,160.16,2024-04-30 10:31:06,4,640.64,深圳,男,23
U2939,蔡宁楠,P31441,哑铃,运动,760.19,2024-09-26 16:12:22,2,1520.38,成都,女,48
U4029,田家翰,P76568,洗发水,美妆,218.32,2024-07-16 10:13:22,5,1091.6,广州,男,43
U8217,危兴峰,P39197,羽绒服,服装,421.34,2024-03-14 01:48:35,1,421.34,杭州,男,34
U4033,昝鸣,P21919,拼图,玩具,774.39,2024-04-09 03:12:21,4,3097.56,武汉,男,38
U4834,危河,P28981,办公椅,家居,1856.8,2024-03-08 17:11:20,5,9284.0,广州,女,53
U5967,凌林勇,P53597,遥控车,玩具,510.41,2024-03-11 05:24:22,3,1531.23,西安,女,43
U5563,贺子东,P63218,牛仔裤,服装,640.54,2024-11-06 11:30:21,3,1921.62,成都,男,30
U5603,明志栋,P98606,洗发水,美妆,130.7,2024-03-27 23:59:18,5,653.5,西安,男,65
U1342,米东时,P34531,T恤,服装,887.87,2024-02-28 14:26:14,2,1775.74,杭州,男,23
U1442,贺强晨,P68697,充电宝,电子产品,9645.37,2024-03-25 04:51:17,1,9645.37,苏州,女,55
U5152,洪龙固,P68458,瑜伽垫,运动,794.37,2024-06-06 11:07:06,5,3971.85,重庆,男,62
U9763,陶飞腾,P42692,沙发,家居,4045.3,2024-01-09 04:22:17,5,20226.5,天津,女,46
U7202,倪新庆,P14703,连衣裙,服装,355.73,2024-02-14 12:34:37,4,1422.92,北京,男,56
U6143,舒辰胜,P98472,平板电脑,电子产品,3208.08,2024-12-09 05:25:37,3,9624.24,西安,男,41
U2548,宗思榕,P60946,跑步鞋,运动,55.02,2024-08-14 12:35:07,3,165.06,广州,男,43
U7698,童乐谦,P78477,化妆刷套装,美妆,809.72,2024-06-21 03:47:06,4,3238.88,南京,女,24
U2249,洪豪,P75612,技术教材,书籍,195.84,2024-01-18 13:25:01,3,587.52,成都,女,65
U3471,钱林,P75957,粉底液,美妆,489.06,2024-01-25 04:12:34,4,1956.24,杭州,男,65
U8539,范厚,P46597,显示器,电子产品,5392.84,2024-07-05 09:05:21,3,16178.52,武汉,男,27
U6145,萧和泰,P29667,变形金刚,玩具,284.35,2024-10-14 19:30:26,1,284.35,杭州,女,22
U7655,夏天群,P46626,漫画,书籍,814.05,2024-03-12 06:08:58,1,814.05,南京,男,31
U9674,宗达先,P46225,桌游,玩具,72.82,2024-12-20 10:40:52,1,72.82,广州,女,44
U8268,闵邦毅,P14391,洗发水,美妆,44.16,2024-09-13 21:38:54,2,88.32,西安,男,24
U4738,皮建勇,P47603,运动鞋,服装,480.62,2024-09-10 05:58:36,1,480.62,苏州,女,52
U7613,邵翔贵,P57748,羽毛球拍,运动,837.53,2024-02-04 06:34:36,5,4187.65,深圳,男,31
U7584,董晨善,P48601,粉底液,美妆,111.02,2024-07-30 20:14:25,5,555.1,天津,男,60
U2854,吕彪,P83091,瑜伽垫,运动,345.34,2024-02-27 06:24:08,4,1381.36,广州,女,46
U8327,傅天,P25432,羽绒服,服装,510.79,2024-05-01 12:23:33,5,2553.95,重庆,男,30
U4591,解群,P38935,桌游,玩具,158.55,2024-02-18 18:29:59,5,792.75,南京,男,31
U1685,孔心,P32104,办公椅,家居,3937.09,2024-07-24 20:41:53,4,15748.36,深圳,男,57
U4350,陶彪斌,P24733,台灯,家居,1545.75,2024-05-27 01:48:49,4,6183.0,杭州,男,35
U7706,滕壮,P13088,智能手机,电子产品,6082.05,2024-02-16 17:09:10,2,12164.1,深圳,男,47
U4037,熊磊轮,P74603,夹克,服装,407.23,2024-02-13 17:25:01,1,407.23,杭州,女,43
U4788,宣友会,P63022,餐桌,家居,4152.16,2024-04-12 12:20:14,4,16608.64,成都,男,63
U7432,熊东辉,P12583,智能手表,电子产品,1718.41,2024-05-19 01:18:34,5,8592.05,南京,女,31
U1416,孙宏功,P17689,漫画,书籍,739.48,2024-10-23 00:03:08,5,3697.4,上海,男,24
U5189,王亨辉,P63703,漫画,书籍,569.04,2024-10-27 01:28:11,2,1138.08,天津,女,26
U1148,韩伟泰,P86654,台灯,家居,2878.49,2024-08-30 12:37:22,3,8635.47,深圳,男,38
U5637,费安清,P79241,时尚杂志,书籍,449.2,2024-10-09 06:04:30,4,1796.8,上海,女,31
U4720,萧昌,P39735,餐桌,家居,3816.33,2024-02-16 17:24:34,5,19081.65,武汉,女,44
U9954,何中元,P18314,口红,美妆,824.47,2024-02-09 14:07:59,2,1648.94,深圳,男,49
U3309,韦庆,P35213,芭比娃娃,玩具,959.48,2024-10-31 07:50:39,2,1918.96,西安,女,52
U8142,裘毅庆,P17321,时尚杂志,书籍,801.16,2024-03-25 07:03:58,5,4005.8,西安,男,52
U4937,傅震,P78891,沙发,家居,3917.77,2024-09-16 18:23:39,5,19588.85,南京,男,65
U6750,范峰,P53724,山地车,运动,607.48,2024-09-01 17:18:46,1,607.48,成都,男,34
U3758,庞泰,P30109,毛绒玩具,玩具,878.31,2024-01-10 21:27:09,2,1756.62,重庆,女,25
U9647,徐栋,P13259,沙发,家居,818.96,2024-01-21 16:20:01,1,818.96,重庆,女,56
U5790,柳河健,P66162,羽绒服,服装,37.8,2024-04-05 08:56:00,4,151.2,广州,男,25
U6215,蔡江,P57281,历史书籍,书籍,794.01,2024-09-02 09:39:13,4,3176.04,天津,男,47
U5304,卜保毅,P30627,蓝牙耳机,电子产品,6844.6,2024-09-15 15:23:12,3,20533.8,深圳,女,32
U3247,裘兴山,P67214,心理学,书籍,934.13,2024-12-08 22:00:20,3,2802.39,上海,女,57
U8553,章超文,P41863,山地车,运动,578.68,2024-09-22 17:23:22,3,1736.04,苏州,男,29
U7976,郭龙利,P70676,台灯,家居,621.49,2024-06-22 00:59:05,4,2485.96,杭州,男,45
U4224,高民龙,P81121,历史书籍,书籍,558.5,2024-07-23 11:05:25,4,2234.0,深圳,男,33
U6676,石国勇,P50783,洗发水,美妆,559.25,2024-09-19 09:44:08,3,1677.75,广州,男,26
U3297,时辉会,P35773,餐桌,家居,134.53,2024-11-05 23:02:10,1,134.53,南京,女,45
U7564,臧宏民,P99121,收纳盒,家居,4484.73,2024-02-04 23:19:57,4,17938.92,南京,男,51
U5729,姜辰,P49445,夹克,服装,493.95,2024-02-26 05:16:41,1,493.95,南京,男,25
U9815,乐全航,P87090,牛仔裤,服装,81.37,2024-12-22 11:47:20,3,244.11,北京,男,61
U1499,潘弘承,P51861,充电宝,电子产品,9209.73,2024-04-20 02:22:25,1,9209.73,深圳,女,47
U2528,严炎时,P26999,漫画,书籍,382.86,2024-07-07 01:23:11,4,1531.44,西安,男,39
U3062,娄贵,P95507,充电宝,电子产品,5758.94,2024-09-05 12:32:08,1,5758.94,上海,女,40
U7950,宋树,P65684,牛仔裤,服装,263.41,2024-09-12 00:48:47,4,1053.64,成都,男,33
U7117,莫弘松,P32362,平板电脑,电子产品,2401.42,2024-12-07 08:56:30,5,12007.1,北京,男,18
U5929,苗志敬,P36902,四件套,家居,192.96,2024-03-17 04:06:29,2,385.92,西安,男,20
U8552,石刚邦,P84919,跑步鞋,运动,28.18,2024-04-18 11:41:53,3,84.54,天津,男,40
U7702,包福,P59531,牛仔裤,服装,684.92,2024-02-23 06:16:16,2,1369.84,武汉,男,38
U6858,胡元,P31489,跑步鞋,运动,939.25,2024-06-02 17:40:44,1,939.25,杭州,女,53
U4137,凤风哲,P42828,技术教材,书籍,337.31,2024-04-24 18:50:18,4,1349.24,重庆,男,62
U1719,席坚,P46522,抱枕,家居,494.82,2024-11-19 02:53:49,3,1484.46,天津,女,62
U6033,许翔,P75525,漫画,书籍,81.36,2024-10-17 22:24:31,2,162.72,苏州,男,41
U6885,蔡中振,P38251,连衣裙,服装,193.24,2024-04-16 13:19:56,3,579.72,北京,女,60
U5876,邵林生,P69211,拼图,玩具,86.09,2024-09-07 11:22:19,3,258.27,南京,女,23
U5530,蒋冠全,P27260,时尚杂志,书籍,970.55,2024-01-18 17:56:44,2,1941.1,重庆,男,55
U8655,丁弘东,P27336,哑铃,运动,539.92,2024-12-29 12:09:21,1,539.92,重庆,女,35
U6611,姜发龙,P84146,显示器,电子产品,8243.37,2024-11-24 14:48:33,3,24730.11,西安,男,61
U8767,吕群,P39456,毛绒玩具,玩具,987.62,2024-08-08 20:09:37,4,3950.48,西安,男,65
U8397,熊榕,P98607,时尚杂志,书籍,807.25,2024-10-12 16:27:24,3,2421.75,杭州,女,28
U4045,钮仁波,P58774,桌游,玩具,892.47,2024-08-24 11:48:08,2,1784.94,南京,女,60
U7064,盛保武,P80025,防晒霜,美妆,642.46,2024-04-11 01:04:27,3,1927.38,苏州,女,32
U4043,俞龙,P92194,抱枕,家居,3612.95,2024-02-27 04:01:06,4,14451.8,上海,女,53
U6944,花政,P80157,平板电脑,电子产品,8001.5,2024-03-21 10:19:47,2,16003.0,北京,女,49
U3649,凌以义,P14266,篮球,运动,132.66,2024-03-23 11:22:55,4,530.64,成都,男,59
U8390,顾诚先,P75478,卫衣,服装,45.33,2024-12-29 16:46:12,3,135.99,天津,女,26
U8968,邱安天,P82930,显示器,电子产品,8553.57,2024-05-12 23:16:09,3,25660.71,苏州,男,48
U5537,卫朋,P25022,面霜,美妆,899.67,2024-02-12 10:16:40,2,1799.34,南京,男,21
U3312,蒋健邦,P62411,桌游,玩具,430.26,2024-12-16 22:48:47,5,2151.3,武汉,女,54
U6521,伏庆星,P75615,面霜,美妆,798.68,2024-02-19 03:13:38,5,3993.4,深圳,男,57
U1453,李会,P54777,台灯,家居,3831.37,2024-02-22 07:40:56,2,7662.74,北京,女,44
U8874,经文林,P61566,乐高积木,玩具,292.37,2024-05-18 21:31:40,4,1169.48,苏州,女,63
U4552,章安兴,P18088,抱枕,家居,3171.67,2024-12-12 08:53:17,4,12686.68,杭州,女,44
U8264,常策,P84484,跳绳,运动,258.05,2024-10-31 07:14:01,5,1290.25,天津,男,53
U7513,路树波,P99141,办公椅,家居,1542.45,2024-10-08 01:49:07,5,7712.25,重庆,男,51
U7215,罗奇岩,P92222,香水,美妆,204.58,2024-07-02 22:51:33,1,204.58,杭州,女,55
U6985,齐信盛,P33439,芭比娃娃,玩具,690.04,2024-10-21 18:58:01,4,2760.16,天津,女,31
U4145,包亨启,P15639,心理学,书籍,355.0,2024-06-03 07:09:46,1,355.0,深圳,男,59
U6641,宣超,P68598,粉底液,美妆,202.27,2024-11-10 16:43:46,1,202.27,上海,女,24
U6063,余康,P56411,拼图,玩具,727.24,2024-04-22 11:29:26,3,2181.72,杭州,男,39
U9716,解翰良,P27648,运动鞋,服装,241.59,2024-01-08 12:39:18,2,483.18,北京,男,58
U6774,昌启,P32879,防晒霜,美妆,748.31,2024-07-31 22:00:48,1,748.31,苏州,女,59
U5654,经豪行,P25604,办公椅,家居,3535.32,2024-08-09 10:26:38,5,17676.6,南京,男,26
U9675,柳江辉,P61985,羽毛球拍,运动,953.09,2024-03-18 08:57:32,2,1906.18,重庆,女,45
U2894,齐亨刚,P75814,时尚杂志,书籍,308.12,2024-02-24 16:53:18,1,308.12,上海,女,64
U5291,米勇启,P18865,瑜伽垫,运动,550.45,2024-06-14 19:59:39,4,2201.8,深圳,男,21
U3782,陶鹏翰,P57039,抱枕,家居,4927.92,2024-12-13 17:53:35,5,24639.6,成都,女,47
U6766,屈俊之,P98086,T恤,服装,26.67,2024-08-07 13:52:16,1,26.67,广州,男,32
U1902,何勇仁,P98463,跑步鞋,运动,250.76,2024-10-12 07:00:44,1,250.76,杭州,女,56
U6734,孔绍利,P97414,蓝牙耳机,电子产品,7986.8,2024-11-20 07:07:52,3,23960.4,苏州,女,28
U8619,贝德,P35593,篮球,运动,520.69,2024-01-05 07:47:50,1,520.69,上海,男,62
U6212,明风国,P86411,面霜,美妆,157.09,2024-01-27 20:59:19,2,314.18,杭州,男,28
U1491,颜广泰,P88429,智能手表,电子产品,4346.75,2024-11-24 09:48:30,1,4346.75,西安,男,38
U8999,项壮冠,P18073,沙发,家居,392.54,2024-09-23 18:01:15,1,392.54,苏州,男,44
U3189,于学壮,P68917,显示器,电子产品,5038.8,2024-03-29 22:18:13,5,25194.0,重庆,男,56
U1330,祁绍,P51091,羽毛球拍,运动,592.84,2024-07-14 13:45:21,5,2964.2,北京,男,55
U8797,席庆鹏,P58084,羽绒服,服装,711.63,2024-05-05 08:38:39,1,711.63,天津,女,32
U5749,范朗彬,P82963,运动鞋,服装,964.08,2024-08-15 15:09:22,4,3856.32,上海,男,19
U1723,许林,P71378,心理学,书籍,278.08,2024-05-23 01:21:33,5,1390.4,南京,男,20
U2327,昌绍哲,P12800,卫衣,服装,551.76,2024-10-30 07:14:10,1,551.76,深圳,男,27
U9150,皮奇新,P29435,口红,美妆,64.04,2024-05-01 07:30:41,4,256.16,武汉,女,46
U3657,韩力达,P66266,毛绒玩具,玩具,564.33,2024-03-02 00:10:12,4,2257.32,西安,女,42
U8843,潘永,P88623,芭比娃娃,玩具,523.25,2024-03-17 07:46:06,4,2093.0,天津,男,48
U2292,路榕世,P26822,口红,美妆,89.75,2024-09-11 23:42:32,5,448.75,南京,男,21
U3384,潘浩庆,P59032,时尚杂志,书籍,997.38,2024-09-25 10:53:56,3,2992.14,上海,男,49
U5745,殷良维,P29203,蓝牙耳机,电子产品,545.22,2024-10-24 03:35:09,5,2726.1,苏州,男,39
U2329,董斌奇,P96871,面霜,美妆,907.98,2024-02-08 12:55:21,1,907.98,北京,女,50
U7747,尹之光,P59252,心理学,书籍,323.91,2024-09-16 20:43:39,1,323.91,天津,女,33
U5984,郝安轮,P66043,蓝牙耳机,电子产品,1271.02,2024-04-17 01:35:13,5,6355.1,苏州,男,62
U8533,计钧腾,P89766,洗发水,美妆,42.31,2024-07-02 00:28:06,1,42.31,成都,男,34
U4206,张士,P18524,口红,美妆,356.35,2024-09-23 07:45:18,4,1425.4,上海,女,19
U9637,丁新,P61052,毛绒玩具,玩具,890.65,2024-07-23 02:38:29,5,4453.25,南京,女,55
U8057,潘泰,P67512,收纳盒,家居,1816.82,2024-01-14 02:04:08,5,9084.1,南京,女,46
U7674,徐武政,P19529,跑步鞋,运动,963.03,2024-12-09 12:56:49,1,963.03,上海,女,62
U2194,皮俊,P19104,卫衣,服装,230.73,2024-06-15 22:18:49,4,922.92,杭州,男,24
U9390,华启,P70609,粉底液,美妆,604.42,2024-01-09 10:43:53,3,1813.26,杭州,男,63
U8712,方成清,P57562,笔记本电脑,电子产品,685.94,2024-12-07 03:06:02,1,685.94,广州,男,24
U1081,梁亨固,P93391,变形金刚,玩具,259.07,2024-08-04 19:50:27,2,518.14,武汉,男,50
U9430,金福,P91864,羽毛球拍,运动,648.73,2024-10-27 09:45:26,1,648.73,杭州,女,21
U2302,常厚涛,P76942,四件套,家居,4647.43,2024-07-02 13:19:25,5,23237.15,苏州,男,57
U2547,奚辰树,P79546,收纳盒,家居,3185.2,2024-08-22 11:41:43,5,15926.0,南京,女,44
U2461,强若维,P66334,洗发水,美妆,885.89,2024-01-17 03:59:15,5,4429.45,北京,女,36
U4521,骆超,P14094,蓝牙耳机,电子产品,8003.51,2024-03-08 04:00:04,5,40017.55,杭州,男,53
U7384,滕致涛,P39895,羽毛球拍,运动,280.17,2024-12-10 16:31:05,4,1120.68,南京,女,37
U8905,赵善,P95971,防晒霜,美妆,378.47,2024-11-10 07:39:15,4,1513.88,南京,男,59
U3787,江翰,P66824,蓝牙耳机,电子产品,2116.07,2024-03-10 19:25:40,1,2116.07,北京,男,38
U4983,戴义,P52633,篮球,运动,472.68,2024-06-10 09:05:37,3,1418.04,天津,男,26
U2243,薛磊清,P58306,面霜,美妆,783.6,2024-03-07 22:03:47,4,3134.4,成都,女,23
U6988,丁固,P70082,充电宝,电子产品,9179.33,2024-07-16 22:28:01,2,18358.66,西安,女,41
U6594,戴士,P63553,跳绳,运动,823.74,2024-01-23 22:53:24,4,3294.96,杭州,女,44
U6806,解天文,P70345,粉底液,美妆,586.0,2024-02-08 13:19:07,3,1758.0,成都,女,35
U3438,邓清彬,P29609,羽绒服,服装,661.07,2024-03-16 13:20:08,2,1322.14,天津,女,27
U4500,喻海成,P15143,运动鞋,服装,420.01,2024-06-05 00:45:33,5,2100.05,上海,女,22
U3544,解固功,P51363,充电宝,电子产品,4792.21,2024-01-23 15:37:16,1,4792.21,武汉,男,46
U9817,唐厚敬,P43727,四件套,家居,129.7,2024-11-14 08:53:39,4,518.8,成都,男,34
U4469,项江,P13356,瑜伽垫,运动,294.54,2024-10-31 05:43:38,5,1472.7,西安,女,58
U6998,莫航,P36688,办公椅,家居,2798.62,2024-04-07 15:39:53,3,8395.86,重庆,男,46
U1853,蔡山顺,P87668,收纳盒,家居,4098.4,2024-06-27 18:52:39,4,16393.6,天津,女,62
U7935,和炎,P60422,乐高积木,玩具,869.46,2024-02-14 15:04:35,1,869.46,成都,女,59
U9601,高福绍,P43200,香水,美妆,564.71,2024-05-10 07:34:09,5,2823.55,天津,女,35
U7197,林哲谦,P76143,连衣裙,服装,984.34,2024-11-29 07:48:38,1,984.34,重庆,女,64
U9625,宗元波,P36234,技术教材,书籍,988.8,2024-11-05 16:15:18,3,2966.4,上海,女,63
U7154,史固,P94758,笔记本电脑,电子产品,4762.11,2024-05-28 07:17:02,5,23810.55,南京,女,52
U2463,邹宁,P29606,毛绒玩具,玩具,255.86,2024-07-25 03:58:25,3,767.58,南京,女,44
U5183,黄风,P42731,连衣裙,服装,429.75,2024-12-09 14:51:28,2,859.5,武汉,女,19
U8719,颜进亮,P42511,遥控车,玩具,825.3,2024-03-08 12:28:32,4,3301.2,成都,男,59
U4354,史仁,P14763,瑜伽垫,运动,541.82,2024-04-30 07:48:05,1,541.82,北京,男,54
U2053,鲍维,P35669,口红,美妆,530.8,2024-01-23 14:18:38,5,2654.0,西安,女,38
U1279,奚诚伟,P26684,漫画,书籍,799.4,2024-09-24 23:18:30,3,2398.2,北京,女,43
U8313,季友国,P49556,连衣裙,服装,102.88,2024-08-04 10:03:53,1,102.88,上海,女,36
U8378,韩志翔,P82877,篮球,运动,321.96,2024-09-21 09:50:12,4,1287.84,武汉,女,59
U4069,胡强,P16991,羽绒服,服装,48.78,2024-02-03 02:21:30,5,243.9,南京,男,50
U5956,贲鸣康,P82550,芭比娃娃,玩具,166.2,2024-12-16 11:04:56,1,166.2,武汉,男,27
U7654,卞山,P55603,口红,美妆,226.51,2024-01-20 02:30:02,1,226.51,成都,女,52
U2345,吴辰乐,P76496,羽绒服,服装,495.85,2024-10-12 16:35:24,5,2479.25,北京,男,55
U2045,庞谦,P43780,粉底液,美妆,685.97,2024-02-26 19:12:57,4,2743.88,西安,女,45
U1184,和琛,P88430,粉底液,美妆,485.13,2024-02-12 19:49:45,2,970.26,成都,女,45
U9098,凌武亨,P78702,洗发水,美妆,838.03,2024-04-26 16:38:04,5,4190.15,成都,男,46
U9482,干建刚,P33580,T恤,服装,60.26,2024-07-09 09:18:27,4,241.04,杭州,女,36
U9986,祁茂,P42263,羽毛球拍,运动,689.84,2024-03-13 00:53:42,3,2069.52,杭州,女,31
U2532,裘浩维,P34209,技术教材,书籍,725.93,2024-07-16 12:48:00,3,2177.79,广州,男,65
U7569,缪承健,P11211,跳绳,运动,165.19,2024-06-13 03:07:38,1,165.19,天津,男,18
U6077,祁和民,P66134,智能手表,电子产品,6739.54,2024-12-26 00:41:33,2,13479.08,成都,女,42
U3396,明天宁,P64755,哑铃,运动,505.63,2024-01-25 20:49:47,2,1011.26,重庆,男,33
U2364,经新壮,P79876,历史书籍,书籍,253.29,2024-07-15 12:19:20,2,506.58,重庆,女,57
U1601,鲁世松,P50536,技术教材,书籍,953.25,2024-08-25 09:47:11,5,4766.25,上海,男,64
U8815,贲言新,P58803,时尚杂志,书籍,135.15,2024-11-13 17:10:02,4,540.6,成都,女,39
U4329,安波,P83617,充电宝,电子产品,3774.08,2024-08-21 17:02:26,3,11322.24,深圳,男,20
U3894,单庆力,P71215,芭比娃娃,玩具,617.53,2024-11-27 18:50:22,5,3087.65,武汉,女,28
U3316,费琛哲,P65946,智能手机,电子产品,1756.31,2024-12-07 02:48:52,2,3512.62,天津,女,45
U7258,章栋伟,P61554,跑步鞋,运动,975.51,2024-11-30 11:56:15,1,975.51,南京,男,58
U5354,房宁贵,P16369,平板电脑,电子产品,4011.73,2024-10-21 21:58:51,5,20058.65,重庆,女,60
U1446,奚发建,P64907,变形金刚,玩具,270.62,2024-07-01 06:18:56,1,270.62,成都,男,57
U6238,郎承,P86759,口红,美妆,482.79,2024-02-23 13:28:10,3,1448.37,西安,女,63
U8354,祝和,P28742,漫画,书籍,672.83,2024-07-24 20:15:20,4,2691.32,上海,女,65
U9708,纪政哲,P75166,洗发水,美妆,351.29,2024-08-15 07:13:36,5,1756.45,北京,男,34
U8804,贝生,P49294,跑步鞋,运动,323.89,2024-12-25 21:50:30,3,971.67,苏州,男,27
U1177,计涛,P29296,运动鞋,服装,577.29,2024-10-31 14:06:38,4,2309.16,杭州,男,22
